model,split,accuracy,precision,recall,f1,train_time_sec,tn,fp,fn,tp
LogReg,train,0.9888857142857143,0.9877430021093438,0.9900571428571429,0.9888987186438744,0.5000845420872793,17285,215,174,17326
LogReg,val,0.9046,0.8931208705790905,0.9192,0.905972797161443,0.5000845420872793,2225,275,202,2298
LogReg,test,0.9055,0.8982518169318405,0.9146,0.9063521950252701,0.5000845420872793,4482,518,427,4573
LinearSVM,train,0.9997714285714285,0.9998285518344954,0.9997142857142857,0.9997714155094577,0.3542340830899775,17497,3,5,17495
LinearSVM,val,0.9086,0.9004312034496276,0.9188,0.9095228667590576,0.3542340830899775,2246,254,203,2297
LinearSVM,test,0.9106,0.9050907655880032,0.9174,0.9112038140643623,0.3542340830899775,4519,481,413,4587
RandomForest,train,1.0,1.0,1.0,1.0,38.19348441704642,17500,0,0,17500
RandomForest,val,0.821,0.8118927322191993,0.8356,0.8235757934161246,38.19348441704642,2016,484,411,2089
RandomForest,test,0.8309,0.8249852681202121,0.84,0.8324249331087107,38.19348441704642,4109,891,800,4200
